seed,training_source,model,feature_set,train_rows,test_rows,train_action_coverage,test_action_coverage,top1_action_accuracy,top3_action_accuracy,mean_action_cost_regret,mean_gain_vs_validation_static_action,receding_gain_vs_validation_static_action,fraction_of_receding_gain_recovered,validation_static_action_idx
1305,rl_train_plus_validation,ridge_cost_regression,complete_online_state,3584,2304,22,22,0.1740451388888889,,0.03173507982864976,0.012958698954510814,0.044693778783160575,0.28994413332965496,14
1301,validation_only,extra_trees_cost_regression,alert_context,1536,2304,22,22,0.08637152777777778,,0.06098664158748256,0.011122470527576903,0.07210911211505946,0.15424500734150706,13
1302,validation_only,extra_trees_cost_regression,alert_context,1536,2304,22,22,0.1597222222222222,,0.0410419310339623,0.009624334178321684,0.050666265212283984,0.18995546914692016,12
1303,validation_only,extra_trees_cost_regression,alert_context,1536,2304,22,22,0.2703993055555556,,0.036046885031585894,0.01348726329807606,0.04953414832966195,0.2722821276408146,14
1304,validation_only,extra_trees_cost_regression,alert_context,1536,2304,22,22,0.18229166666666666,,0.044953700413720474,0.0070772788733140446,0.05203097928703452,0.136020481841625,12
1305,validation_only,extra_trees_cost_regression,alert_context,1536,2304,22,22,0.1801215277777778,,0.03182792299129586,0.006780388257336908,0.038608311248632766,0.17561991286466905,12
1301,validation_only,hist_gradient_boosting,alert_context,1536,2304,22,22,0.1072048611111111,0.28125,0.05854801452046053,0.013561097594598929,0.07210911211505946,0.1880635774985058,13
1302,validation_only,hist_gradient_boosting,alert_context,1536,2304,22,22,0.1762152777777778,0.3207465277777778,0.043318638283785224,0.007347626928498762,0.050666265212283984,0.14502010159448928,12
1303,validation_only,hist_gradient_boosting,alert_context,1536,2304,22,22,0.08854166666666667,0.3754340277777778,0.050478835554612383,-0.0009446872249504358,0.04953414832966195,-0.01907143368375509,14
1304,validation_only,hist_gradient_boosting,alert_context,1536,2304,22,22,0.234375,0.3663194444444444,0.04007436801394862,0.011956611273085905,0.05203097928703452,0.22979792879019184,12
1305,validation_only,hist_gradient_boosting,alert_context,1536,2304,22,22,0.2942708333333333,0.4422743055555556,0.029944219086448558,0.00866409216218421,0.038608311248632766,0.22441002680455316,12
